4-May-2018,7-May-2018,15-May-2018,0.5650,,5.6,12.71,
7-Feb-2018,8-Feb-2018,14-Feb-2018,0.5650,,8.7,11.36,
6-Nov-2017,7-Nov-2017,14-Nov-2017,0.5650,2.7,10.8,12.39
3-Aug-2017,7-Aug-2017,14-Aug-2017,0.5500,2.8,10.0,9.91
8-May-2017,,,0.5350,2.9,9.4,9.09
3-Feb-2017,7-Feb-2017,14-Feb-2017,0.5200,2.0,8.6,7.66
