LANDMARK INFRASTRUCTURE PARTNERS LP,NASDAQ,LMRK,MLP,FINANCIAL,PROPERTY MANAGEMENT
DIGIRAD CORP,NASDAQ,DRAD,COMMON,HEALTHCARE,MEDICAL APPLIANCES & EQUIPMENT
CONSOLIDATED COMMUNICATIONS HOLDINGS,NASDAQ,CNSL,COMMON,TECHNOLOGY,TELECOM SERVICES - DOMESTIC
NEW YORK MORTGAGE TRUST,NASDAQ,NYMT,REIT,MORTGAGE,HOME FINANCING
SOLAR SENIOR CAPITAL LTD.,NASDAQ,SUNS,COMMON,FINANCIAL,ASSET MANAGEMENT
TIVO CORPORATION,NASDAQ,TIVO,COMMON,SERVICES,CATV SYSTEMS
BANNER CORPORATION,NASDAQ,BANR,COMMON,FINANCIAL,REGIONAL - MID-ATLANTIC BANKS
AURORA CANNABIS INC.,TSX,ACB,,,
